location,timezone
"Madeira, Portugal",Atlantic/Madeira
"Seoul, South Korea",Asia/Seoul
"Berlin, Germany",Europe/Berlin
"Toronto, Canada",America/Toronto
"Nairobi, Kenya",Africa/Nairobi
"Vienna, Austria",Europe/Vienna
"Hoover Dam, Nevada",America/Los_Angeles
"Florianopolis, Brazil",America/Sao_Paulo
"Durham, North Carolina",America/New_York
"Taipei, Taiwan",Asia/Taipei
"Berlin, Germany",Europe/Berlin
Istanbul,Europe/Istanbul
"Riga, Latvia",Europe/Riga
"Austin, Texas",America/Chicago
"Austin, Texas",America/Chicago
Mexico City,America/Mexico_City
"Florianopolis, Brazil",America/Sao_Paulo
"Berlin, Germany",Europe/Berlin
"Austin, Texas",America/Chicago
"Austin, Texas",America/Chicago
"Berlin, Germany",Europe/Berlin
"Buenos Aires, Argentina",America/Argentina/Buenos_Aires
